title	link	displayLink	snippet	cacheId	formattedUrl	pagemap
Where We're at with Vaccines and Treatments for COVID-19	https://www.healthline.com/health-news/heres-exactly-where-were-at-with-vaccines-and-treatments-for-covid-19	www.healthline.com	"3 days ago ... Scientists around the world are working on potential treatments and vaccines for 
the new coronavirus disease known as COVID-19. Several ..."	3ipdFSvg4JEJ	https://www.healthline.com/.../heres-exactly-where-were-at-with-vaccines-and -treatments-for-covid-19	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTzJIkZTSUIz7QlW4Ch3fbq6_YNAqsaqV0Mr6ezmI_ajFkd4nSTebEQbLOM', 'width': '311', 'height': '162'}], 'metatags': [{'og:image': 'https://post.healthline.com/wp-content/uploads/2020/04/COVID_Scientist_1200x628-facebook-1200x628.jpg', 'og:type': 'article', 'twitter:title': ""Where We're at with Vaccines and Treatments for COVID-19"", 'twitter:card': 'summary_large_image', 'sailthru.tags': 'otherviralinfections,infectious', 'og:site_name': 'Healthline', 'k1': 'otherviralinfections', 'k2': 'infectious', 'og:title': ""Where We're at with Vaccines and Treatments for COVID-19"", 'sailthru.image.thumb': 'https://post.healthline.com/wp-content/uploads/2020/04/COVID_Scientist_732x549-thumbnail-732x549.jpg', 'og:description': 'Scientists around the world are working on a number of vaccines and treatments for COVID-19.', 'twitter:creator': '@healthline', 'twitter:image': 'https://post.healthline.com/wp-content/uploads/2020/04/COVID_Scientist_732x549-thumbnail-732x549.jpg', 'fb:app_id': '239371929577489', 'twitter:site': '@healthline', 'news_keywords': 'covid-19 coronavirus outbreak research progress vaccines antiviral drugs treatments', 'viewport': 'width=device-width, initial-scale=1, user-scalable=no', 'twitter:description': 'Scientists around the world are working on a number of vaccines and treatments for COVID-19.', 'og:url': 'https://www.healthline.com/health-news/heres-exactly-where-were-at-with-vaccines-and-treatments-for-covid-19'}], 'cse_image': [{'src': 'https://post.healthline.com/wp-content/uploads/2020/04/COVID_Scientist_1200x628-facebook-1200x628.jpg'}]}"
Pfizer: COVID-19 Vaccine Could Arrive in October	https://www.webmd.com/lung/news/20200515/pfizer-says-covid-19-vaccine-could-arrive-in-october	www.webmd.com	"May 15, 2020 ... Pharmaceutical company Pfizer predicts a vaccine for COVID-19 could be 
available in October."	x2ZnEeIQudkJ	https://www.webmd.com/.../pfizer-says-covid-19-vaccine-could-arrive-in- october	{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGll3dEYu0L7WMNOJDJwgmKGzwAinf5bd4_a0JdlmrAG6x7S8JraJhtgCu', 'width': '306', 'height': '165'}], 'metatags': [{'og:image': 'https://img.webmd.com/dtmcms/live/webmd/consumer_assets/site_images/article_thumbnails/news/2015/02_2015/flu_vaccine/650x350_flu_vaccine.jpg', 'og:type': 'article', 'og:site_name': 'WebMD', 'og:title': 'Pfizer: COVID-19 Vaccine Could Arrive in October', 'fb:pages': '11736558481', 'og:description': 'Pharmaceutical company Pfizer predicts a vaccine for COVID-19 could be available in October.', 'article:author': 'https://www.facebook.com/WebMD', 'article:publisher': 'https://www.facebook.com/WebMD', 'fb:app_id': '385978254785998', 'viewport': 'width=device-width, initial-scale=1', 'og:locale': 'en_US', 's_1stimp': '7025', 'og:url': 'https://www.webmd.com/lung/news/20200515/pfizer-says-covid-19-vaccine-could-arrive-in-october'}], 'cse_image': [{'src': 'https://img.webmd.com/dtmcms/live/webmd/consumer_assets/site_images/article_thumbnails/news/2015/02_2015/flu_vaccine/650x350_flu_vaccine.jpg'}], 'sitenavigationelement': [{'name': 'ADD/ADHD', 'url': 'ADD/ADHD'}], 'listitem': [{'item': 'Lung Disease & Respiratory Health', 'name': 'Lung Disease & Respiratory Health', 'position': '1'}, {'item': 'Coronavirus', 'name': 'Coronavirus', 'position': '2'}, {'item': 'News', 'name': 'News', 'position': '3'}]}
What you need to know about the COVID-19 vaccine | Bill Gates	https://www.gatesnotes.com/Health/What-you-need-to-know-about-the-COVID-19-vaccine	www.gatesnotes.com	"Apr 30, 2020 ... How do you store it? Many common vaccines are kept at 4 degrees C. That's 
around the temperature of your average refrigerator, so storage and ..."		https://www.gatesnotes.com/.../What-you-need-to-know-about-the-COVID- 19-vaccine	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTITwjg00o9IwdREqvmdmFZY3fF6d9OT_izxenXRCMkGQuVpEPtT16F3rXP', 'width': '328', 'height': '154'}], 'metatags': [{'og:image': 'https://media.gatesnotes.com/-/media/Images/Articles/Health/What-you-need-to-know-about-the-COVID-19-vaccine/what-you-need-to-know_2020_blogroll_800px_01.ashx', 'twitter:card': 'summary_large_image', 'og:site_name': 'gatesnotes.com', 'channel': 'Health', 'og:emailbody': 'What you need to know about the COVID-19 vaccine', 'pageid': '7fc80e08-680f-4b1b-b65c-36a8ee67e799', 'og:description': 'Humankind has never had a more urgent task than creating broad immunity for coronavirus.', 'twitter:image': 'https://media.gatesnotes.com/-/media/Images/Articles/Health/What-you-need-to-know-about-the-COVID-19-vaccine/what-you-need-to-know_2020_blogroll_800px_01.ashx', 'twitter:site': '@BillGates', 'pagecp': '/Health/What-you-need-to-know-about-the-COVID-19-vaccine', 'subtopic': 'Health', 'twitter:account_id': '50393960', 'pagename': 'What-you-need-to-know-about-the-COVID-19-vaccine', 'msapplication-tilecolor': '#cc6633', 'og:emailsubject': 'What you need to know about the COVID-19 vaccine', 'twitter:title': 'What you need to know about the COVID-19 vaccine', 'og:type': 'article', 'skype_toolbar': 'SKYPE_TOOLBAR_PARSER_COMPATIBLE', 'author': 'Bill Gates', 'og:title': 'What you need to know about the COVID-19 vaccine', 'fb:pages': '216311481960', 'contenttype': 'Video', 'viewport': 'width=device-width,minimum-scale=1,maximum-scale=1,initial-scale=1,user-scalable=0', 'apple-mobile-web-app-capable': 'yes', 'twitter:description': 'Humankind has never had a more urgent task than creating broad immunity for coronavirus.', 'og:locale': 'en_US', 'pagetid': '0482467c-8461-42da-9c97-75f444524b87', 'og:url': 'https://www.gatesnotes.com/Health/What-you-need-to-know-about-the-COVID-19-vaccine'}], 'comment': [{'author': 'Mike Moore', 'datecreated': '2020-04-30T17:01:07.000Z', 'text': 'Thank You, first for your efforts and generosity. Second for your updates, it is helpful to receive credible reports of the efforts and progress and comforting to hear that so many people around...'}, {'author': 'Amy Gertz', 'datecreated': '2020-04-30T17:00:10.000Z', 'text': 'Very interesting, thank you for the info. Glad we have you on the case!'}, {'author': 'Lora Shimp', 'datecreated': '2020-04-30T17:00:10.000Z', 'text': 'Thanks for this continued excellent leadership! This also links nicely with our blog from Apr 17: https://www.jsi.com/a-new-covid-19-vaccine-will-be-a-game-changer-then-what/'}, {'author': 'Marie Pierre Warren', 'datecreated': '2020-04-30T16:59:14.000Z', 'text': 'aways so interesting and fascinating to read your notes. you are such a highly driven individual always working to make the world a better place thank you'}, {'author': 'Giovanni A. Orlando', 'datecreated': '2020-04-30T16:52:28.000Z', 'text': 'No comment ... The World need to have the choice ... to say, ""Please"" ... or ""I don\'t care, leave me alone and do not disturb me"" ... Otherwise there is no democrazy (this is ...) but something...'}, {'author': 'Rad Oslav (Parkinsons)', 'datecreated': '2020-04-30T16:56:55.000Z', 'text': 'but you are not alone on this planet You live with us ... this means your diseases can be spread to us'}, {'author': 'Mark Richardson', 'datecreated': '2020-04-30T17:03:20.000Z', 'text': 'I am confused here.'}, {'author': 'Walter Schenk', 'datecreated': '2020-04-30T17:01:20.000Z', 'text': ""You are confusing your individual rights with being the same as democracy. The only 'me' in democracy is when you look at things backwards. Democracy simply means that the group is governed...""}, {'author': 'Jose Castillo', 'datecreated': '2020-04-30T16:48:25.000Z', 'text': 'Wow interesting , better this is solved but quick.'}, {'author': 'Patricia Alireza', 'datecreated': '2020-04-30T16:41:50.000Z', 'text': 'Oxford university have said their vaccine might be ready by September, do you think this is possible??'}, {'author': 'Rad Oslav (Parkinsons)', 'datecreated': '2020-04-30T16:45:11.000Z', 'text': 'He said YES! ... please read the note..."" it could be as little as 9 months or as long as two years."" also read the first comment here'}, {'author': 'Gayle Washburn', 'datecreated': '2020-04-30T16:41:10.000Z', 'text': 'Thanks for this article. Have you read anything about how this could be an engineered virus? If so, what do you think?'}, {'author': 'John Smith', 'datecreated': '2020-04-30T15:52:01.000Z', 'text': 'Now that everyone is staying in, please use my forex signals. Check out Mount Fx'}], 'cse_image': [{'src': 'https://media.gatesnotes.com/-/media/Images/Articles/Health/What-you-need-to-know-about-the-COVID-19-vaccine/what-you-need-to-know_2020_article-hero_1200x564_01.ashx'}]}"
COVID-19 vaccine tracker | RAPS	https://www.raps.org/news-and-articles/news-articles/2020/3/covid-19-vaccine-tracker	www.raps.org	"This tracker lists COVID-19 vaccine candidates currently in Phase 1-3 trials, as 
well as major candidates in pre-clinical stages of development and research."	sB1XCTgmPtsJ	https://www.raps.org/news-and-articles/news.../covid-19-vaccine-tracker	{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFU3B568pxilP0vXfglptLpTPNTNFKGuWb-aBoub7KmPjPRF90UBjcREY', 'width': '290', 'height': '174'}], 'metatags': [{'msapplication-config': '/App_Themes/RAPS/assets/src/images/favicons/browserconfig.xml', 'og:image': 'https://www.raps.org/RAPS/media/Education-Events/2020-04-COVID-19-Vaccine-Tracker-500x300-(1).jpg?ext=.jpg', 'theme-color': '#ffffff', 'twitter:card': 'summary', 'twitter:site': 'RAPSorg', 'viewport': 'width=device-width, initial-scale=1.0', 'og:title': 'COVID-19 vaccine tracker', 'og:url': 'https://www.raps.org/news-and-articles/news-articles/2020/3/covid-19-vaccine-tracker', 'og:description': 'This update<em> </em>includes Phase 1 data from Moderna; additional updates from 14 May include new information on vaccine candidates from Sinovac, Symvivo, NovaVax, Vaxart and Takis Biotech.\xa0'}], 'cse_image': [{'src': 'https://www.raps.org/RAPS/media/Education-Events/2020-04-COVID-19-Vaccine-Tracker-500x300-(1).jpg?ext=.jpg'}]}
Trump unveils audacious plan to develop Covid-19 vaccine by end ...	https://www.statnews.com/2020/05/15/trump-audacious-plan-vaccine-covid19/	www.statnews.com	"May 15, 2020 ... Trump administration outlines audacious plan to deliver 'hundreds of millions' of 
Covid-19 vaccine doses by end of 2020. By Lev Facher @ ..."	lGEf1Nfgz0oJ	https://www.statnews.com/2020/05/.../trump-audacious-plan-vaccine-covid19 /	{'hcard': [{'fn': 'Dan', 'nickname': 'Dan'}, {'fn': 'Elliott Blass'}, {'fn': 'Ida Halsted'}, {'fn': 'David Dodds'}, {'fn': 'John Panco'}, {'fn': 'Steve White'}, {'fn': 'Steve White'}, {'fn': 'Steve White'}, {'fn': 'Mike', 'nickname': 'Mike'}, {'fn': 'linda l meyer'}], 'cse_thumbnail': [{'src': 'https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRf8a6W5tdSsp3cGcJQ9ANZvvw2GAQHFNslMGlXcgP-o1zCeOI4tt6i2TBE', 'width': '300', 'height': '168'}], 'metatags': [{'og:image': 'https://www.statnews.com/wp-content/uploads/2020/05/GettyImages-1213147728-1024x576.jpg', 'apple-itunes-app': 'app-id=1324796990', 'article:published_time': '2020-05-15T18:39:28+00:00', 'og:image:width': '1024', 'twitter:card': 'summary_large_image', 'og:site_name': 'STAT', 'msapplication-tileimage': 'https://www.statnews.com/wp-content/uploads/2015/10/cropped-stat-logo-teal-328x328.png', 'og:description': 'Trump deputies left no ambiguity: Drug companies and the government, they said, will manufacture “hundreds of millions” of vaccine doses by the end of 2020.\xa0', 'twitter:creator': '@levfacher', 'article:publisher': 'http://facebook.com/statnews/', 'og:image:secure_url': 'https://www.statnews.com/wp-content/uploads/2020/05/GettyImages-1213147728-1024x576.jpg', 'twitter:image': 'https://www.statnews.com/wp-content/uploads/2020/05/GettyImages-1213147728-1024x576.jpg', 'twitter:site': '@statnews', 'article:modified_time': '2020-05-16T13:05:05+00:00', 'og:type': 'article', 'article:section': 'Politics', 'twitter:title': 'Trump unveils audacious plan to develop Covid-19 vaccine by end of 2020', 'og:title': 'Trump unveils audacious plan to develop Covid-19 vaccine by end of 2020', 'og:image:height': '576', 'og:updated_time': '2020-05-16T13:05:05+00:00', 'fb:pages': '1456948254627841', 'article:tag': 'Coronavirus', 'referrer': 'origin', 'fb:app_id': '933808010032702', 'viewport': 'width=device-width, initial-scale=1', 'twitter:description': 'Trump deputies left no ambiguity: Drug companies and the government, they said, will manufacture “hundreds of millions” of vaccine doses by the end of 2020.\xa0', 'og:locale': 'en_US', 'og:url': 'https://www.statnews.com/2020/05/15/trump-audacious-plan-vaccine-covid19/'}], 'cse_image': [{'src': 'https://www.statnews.com/wp-content/uploads/2020/05/GettyImages-1213147728-1024x576.jpg'}]}
Front-Runners Emerge in the Race for a Covid-19 Vaccine | WIRED	https://www.wired.com/story/frontrunners-emerge-in-the-race-for-a-covid-19-vaccine/	www.wired.com	"May 8, 2020 ... Two leading candidates are headed for mass clinical trials, and everything's on 
the table—including deliberately infecting healthy vaccine ..."	8IzJGHWoMD8J	https://www.wired.com/.../frontrunners-emerge-in-the-race-for-a-covid-19- vaccine/	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSIt5rFmSuM115eSnviW2SXTvAVMHPlK1xaE189JTX847wVojkOQRe0ndw', 'width': '310', 'height': '162'}], 'metatags': [{'og:image': 'https://media.wired.com/photos/5eb46bcec10bbb57867d22af/191:100/w_1280,c_limit/Science_vaccine_1178748367.jpg', 'copyright': 'Copyright (c) Condé Nast 2020', 'twitter:card': 'summary_large_image', 'og:site_name': 'Wired', 'monetization': '$spsp.coil.com/donate/condenast', 'parsely-metadata': '{""description"":""Two leading candidates are headed for mass clinical trials, and everything’s on the table—including deliberately infecting healthy vaccine volunteers."",""image-16-9"":""https://media.wired.com/photos/5eb46bcec10bbb57867d22af/16:9/w_1000,c_limit/Science_vaccine_1178748367.jpg"",""image-1-1"":""https://media.wired.com/photos/5eb46bcec10bbb57867d22af/1:1/w_1000,c_limit/Science_vaccine_1178748367.jpg""}', 'og:description': 'Two leading candidates are headed for mass clinical trials, and everything’s on the table—including deliberately infecting healthy vaccine volunteers.', 'twitter:creator': '@wired', 'msapplication-tap-highlight': 'no', 'twitter:site': '@wired', 'news_keywords': 'science,health,wired free access,coronavirus,covid-19,vaccines,clinical trials,paywall exclude', 'content-type': 'article', 'article:content_tier': 'metered', 'id': '5eb431536c0df3393bc20ef4', 'og:type': 'article', 'twitter:title': 'Front-Runners Emerge in the Race for a Covid-19 Vaccine', 'parsely-post-id': '5eb431536c0df3393bc20ef4', 'twitter:domain': 'https://www.wired.com', 'author': 'Megan Molteni', 'og:title': 'Front-Runners Emerge in the Race for a Covid-19 Vaccine', 'fb:pages': '19440638720', 'twitter:image:src': 'https://media.wired.com/photos/5eb46bcec10bbb57867d22af/191:100/w_1280,c_limit/Science_vaccine_1178748367.jpg?mbid=social_retweet', 'fb:app_id': '719405864858490', 'viewport': 'user-scalable=yes, width=device-width, initial-scale=1, maximum-scale=2', 'twitter:description': 'Two leading candidates are headed for mass clinical trials, and everything’s on the table—including deliberately infecting healthy vaccine volunteers.', 'og:url': 'https://www.wired.com/story/frontrunners-emerge-in-the-race-for-a-covid-19-vaccine/', 'google-signin-client_id': '904266558061-dqllerrg1949kl0dfu2k64nhvhtqoee0.apps.googleusercontent.com', 'article:opinion': 'false'}], 'cse_image': [{'src': 'https://media.wired.com/photos/5eb46bcec10bbb57867d22af/191:100/w_1280,c_limit/Science_vaccine_1178748367.jpg'}]}"
STAT's Covid-19 Drugs and Vaccines Tracker	https://www.statnews.com/feature/coronavirus/drugs-vaccines-tracker/	www.statnews.com	"In the months since the novel coronavirus rose from a regional crisis to a global 
threat, drug makers large and small have scrambled to advance their best ideas ..."	eKm413S2eRUJ	https://www.statnews.com/feature/coronavirus/drugs-vaccines-tracker/	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRrTi32llZQpRPVl_MSgGqZgGQIQJUDopwoKKUeQB0YM9Q_55WjYav3HKf6', 'width': '300', 'height': '168'}], 'metatags': [{'og:image': 'https://www.statnews.com/wp-content/uploads/2020/04/Covid-19-Vaccine-Tracker_social_card-1024x576.jpg', 'apple-itunes-app': 'app-id=1324796990', 'article:published_time': '2020-04-27T08:35:01+00:00', 'og:image:width': '1024', 'twitter:card': 'summary_large_image', 'og:site_name': 'STAT', 'msapplication-tileimage': 'https://www.statnews.com/wp-content/uploads/2015/10/cropped-stat-logo-teal-328x328.png', 'og:description': ""Drug makers large and small have scrambled to advance their best ideas for thwarting a pandemic. Here's your guide to drugs and vaccines in development."", 'twitter:creator': '@damiangarde', 'article:publisher': 'http://facebook.com/statnews/', 'og:image:secure_url': 'https://www.statnews.com/wp-content/uploads/2020/04/Covid-19-Vaccine-Tracker_social_card-1024x576.jpg', 'twitter:image': 'https://www.statnews.com/wp-content/uploads/2020/04/Covid-19-Vaccine-Tracker_social_card.jpg', 'twitter:site': '@statnews', 'article:modified_time': '2020-04-27T16:06:54+00:00', 'og:type': 'article', 'article:section': 'Health', 'twitter:title': ""STAT's Covid-19 Drugs and Vaccines Tracker"", 'og:title': ""STAT's Covid-19 Drugs and Vaccines Tracker"", 'og:image:height': '576', 'og:updated_time': '2020-04-27T16:06:54+00:00', 'fb:pages': '1456948254627841', 'article:tag': 'Coronavirus', 'referrer': 'origin', 'fb:app_id': '933808010032702', 'viewport': 'width=device-width, initial-scale=1', 'twitter:description': ""Drug makers large and small have scrambled to advance their best ideas for thwarting a pandemic. Here's your guide to drugs and vaccines in development."", 'og:locale': 'en_US', 'og:url': 'https://www.statnews.com/feature/coronavirus/drugs-vaccines-tracker/'}], 'cse_image': [{'src': 'https://www.statnews.com/wp-content/uploads/2020/04/Covid-19-Vaccine-Tracker_social_card-1024x576.jpg'}]}"
COVID-19 (coronavirus) vaccine: Get the facts - Mayo Clinic	https://www.mayoclinic.org/diseases-conditions/coronavirus/in-depth/coronavirus-vaccine/art-20484859	www.mayoclinic.org	"May 8, 2020 ... A vaccine to prevent coronavirus disease 2019 (COVID-19) is perhaps the best 
hope for ending the pandemic. Currently, there is no vaccine to ..."	PDrZiwpPNcwJ	https://www.mayoclinic.org/.../coronavirus/.../coronavirus-vaccine/art- 20484859	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSZ_sDGlnBW6-phrQxivi9vXSzTEYkXIIIrbJ42PVGSa4X7sA6clkA0Wkey', 'width': '310', 'height': '163'}], 'metatags': [{'application-name': '\xa0', 'msapplication-tilecolor': '#FFFFFF', 'pocid': 'ART-20484859', 'og:image': 'https://www.mayoclinic.org/-/media/web/gbs/shared/images/socialmedia-metadata/mc_opengraph_600x315.jpg', 'twitter:card': 'summary', 'twitter:title': 'Get the facts about a COVID-19 (coronavirus) vaccine', 'og:type': 'article', 'og:site_name': 'Mayo Clinic', 'subject': 'Coronavirus disease 2019', 'og:title': 'Get the facts about a COVID-19 (coronavirus) vaccine', 'focus': 'Prevention|Prophylaxis', 'msapplication-tileimage': '/styles/img/GBS/mstile-144x144.png', 'twitter:creator': '@mayoclinic', 'og:description': ""Know the challenges to creating a COVID-19 (coronavirus) vaccine, what's being researched, the vaccine timeline and how to prevent infection."", 'twitter:image': 'https://www.mayoclinic.org/-/media/web/gbs/shared/images/socialmedia-metadata/mc_twittercard_120x120.jpg', 'twitter:image:alt': 'GBS Image alternate text SocialMedia_TwitterCard', 'fb:app_id': '547651825432067', 'twitter:site': '@mayoclinic', 'viewport': 'initial-scale=1.0', 'twitter:description': ""Know the challenges to creating a COVID-19 (coronavirus) vaccine, what's being researched, the vaccine timeline and how to prevent infection."", 'publishdate': '2020-05-08', 'og:url': 'https://www.mayoclinic.org/diseases-conditions/coronavirus/in-depth/coronavirus-vaccine/art-20484859', 'format-detection': 'telephone=no', 'contentlanguage': 'en'}], 'cse_image': [{'src': 'https://www.mayoclinic.org/-/media/web/gbs/shared/images/socialmedia-metadata/mc_opengraph_600x315.jpg'}]}"
Rapid COVID-19 vaccine development | Science	https://science.sciencemag.org/content/early/2020/05/07/science.abb8923	science.sciencemag.org	"May 8, 2020 ... Rapid development of a vaccine to prevent coronavirus disease 19 (COVID-19) 
is a global imperative, and defining the stakes and potential ..."		https://science.sciencemag.org/content/early/2020/05/07/science.abb8923	{'metatags': [{'dc.publisher': 'American Association for the Advancement of Science', 'citation_publication_date': '2020/05/08', 'citation_mjid': 'sci;science.abb8923v1', 'article:published_time': '2020-05-08', 'citation_title': 'Rapid COVID-19 vaccine development', 'citation_author_institution': 'Vaccine Research Center, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, MD, USA.', 'citation_reference': 'citation_journal_title=AIDS research and human retroviruses;citation_journal_abbrev=AIDS Res Hum Retroviruses;citation_author=J. R. Mascola;citation_title=Summary report: workshop on the potential risks of antibody-dependent enhancement in human HIV vaccine trials.;citation_pages=1175-1184;citation_volume=9;citation_year=1993;citation_issue=12;citation_pmid=7908211;citation_doi=10.1089/aid.1993.9.1175', 'citation_publisher': 'American Association for the Advancement of Science', 'hw.identifier': '/sci/early/2020/05/07/science.abb8923.atom', 'citation_journal_title': 'Science', 'citation_id': 'science.abb8923v1', 'dc.format': 'text/html', 'dc.rights': 'Copyright © 2020, American Association for the Advancement of Science', 'dc.accessrights': 'restricted', 'type': 'article', 'citation_issn': '0036-8075', 'hw.pisa': 'sci;science.abb8923v1', 'citation_full_html_url': 'https://science.sciencemag.org/content/early/2020/05/07/science.abb8923.full', 'citation_public_url': 'https://science.sciencemag.org/content/early/2020/05/07/science.abb8923', 'citation_pdf_url': 'https://science.sciencemag.org/content/sci/early/2020/05/07/science.abb8923.full.pdf', 'citation_section': 'Perspective', 'dc.description': 'Finding the fastest pathway to vaccine availability includes the avoidance of safety pitfalls', 'article:section': 'Perspective', 'citation_pmid': '32385100', 'citation_article_type': 'Article Commentary', 'citation_abstract': '<p>Finding the fastest pathway to vaccine availability includes the avoidance of safety pitfalls</p>', 'citation_author': 'Barney S. Graham', 'dc.date': '2020-05-08', 'citation_abstract_html_url': 'https://science.sciencemag.org/content/early/2020/05/07/science.abb8923.abstract', 'dc.contributor': 'Barney S. Graham', 'citation_doi': '10.1126/science.abb8923', 'dc.title': 'Rapid COVID-19 vaccine development', 'dc.identifier': '10.1126/science.abb8923', 'category': 'article-commentary', 'dc.language': 'en'}]}
COVID-19 vaccine - Wikipedia	https://en.wikipedia.org/wiki/COVID-19_vaccine	en.wikipedia.org	"A COVID-19 vaccine is a hypothetical vaccine against coronavirus disease 2019 
(COVID‑19). Although no vaccine has completed clinical trials, there are ..."	n09Z_oHP7NAJ	https://en.wikipedia.org/wiki/COVID-19_vaccine	{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsb8oKQYKKJ1PnltdS5wGKsNXyntlK19XSdka9sCl2nhbvhqyAlK-ke00', 'width': '224', 'height': '225'}], 'metatags': [{'referrer': 'origin', 'og:image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/SARS-CoV-2_without_background.png/1200px-SARS-CoV-2_without_background.png'}], 'cse_image': [{'src': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/SARS-CoV-2_without_background.png/1200px-SARS-CoV-2_without_background.png'}]}
