title	link	displayLink	snippet	formattedUrl	pagemap	mime	fileFormat	cacheId
10 Turfway Park	https://www.espn.com/media/horse/RACE5_060325.pdf	www.espn.com	"10 Turfway Park. LanesEnd-G2. 1 MILES (1:49 35th Running of THE LANE'S 
END. Grade II. Purse $500,000 Three-Year-Olds. Colts and geldings. 121 lbs."	https://www.espn.com/media/horse/RACE5_060325.pdf	{'metatags': [{'moddate': 'D:20060323171220', 'creationdate': 'D:20060323171220', 'creator': 'Neevia Document Converter 4.9.1', 'producer': 'Neevia Document Converter'}]}	application/pdf	PDF/Adobe Acrobat	
"""i'd do anything"" official rules for applicants and contestants"	https://www.espn.com/eoe/doanything/IDA2_rules.pdf	www.espn.com	"""I'd Do Anything"" is a reality/game show (the ""Program"") produced by a producer 
selected by ESPN Productions, Inc. (""Producer"") for initial telecast on the ESPN, ..."	https://www.espn.com/eoe/doanything/IDA2_rules.pdf	"{'metatags': [{'moddate': ""D:20050217104133-08'00'"", 'creationdate': ""D:20050217104133-08'00'"", 'creator': 'PScript5.dll Version 5.2', 'author': 'www', 'producer': 'http://createpdf.adobe.com V5.5', 'title': 'Microsoft Word - 4214E5C2-319E-00ADFE.doc'}]}"	application/pdf	PDF/Adobe Acrobat	-ZvW4YmGicQJ
critique of the freeh report: the rush to injustice regarding joe paterno	https://www.espn.com/pdf/2013/0210/espn_otl_FINAL%20KING&SPAULDING2.pdf	www.espn.com	"KING & SPALDING: FEBRUARY 2013. WICK SOLLERS. MARK JENSEN. ALAN 
DIAL. DREW CRAWFORD. CONTAINING INDEPENDENT EXPERT REPORTS ..."	https://www.espn.com/pdf/.../espn_otl_FINAL%20KING&SPAULDING2.pdf		application/pdf	PDF/Adobe Acrobat	
police wrote	https://www.espn.com/pdf/2015/0614/IanWalker_theft_Redacted3.pdf	www.espn.com	"Jun 14, 2015 ... Age : 22. Occupation/Vocation : Student - College. DL/ID State : FL. School 
Attending : FSU. Birth Country : United States. Min. Height : 5'11""."	https://www.espn.com/pdf/2015/0614/IanWalker_theft_Redacted3.pdf	"{'metatags': [{'moddate': ""D:20150613140101-04'00'"", 'creationdate': ""D:20150506082905-05'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'tpdcadadmin', 'producer': 'GNU Ghostscript 7.06', 'title': 'Seagate Crystal Reports - Inc_P'}]}"	application/pdf	PDF/Adobe Acrobat	w3VSpEpWQfcJ
the police report states	https://www.espn.com/pdf/2015/0614/Perry_fight_Redacted.pdf	www.espn.com	"Jun 14, 2015 ... On April 13, 2014 at 2048 hours Michael Davis contacted dispatch to report a 
cold assault. He informed dispatch he had been assaulted last ..."	https://www.espn.com/pdf/2015/0614/Perry_fight_Redacted.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRGHoPwcCPRtebv_k91jrNBAu-RR0fuxPZipPiAxg5JeW3uaCYCKHdqGcop', 'width': '142', 'height': '128'}], 'metatags': [{'moddate': ""D:20150506092929-05'00'"", 'creationdate': ""D:20150506085019-05'00'"", 'creator': 'Crystal Reports', 'producer': 'Powered By Crystal', 'title': 'NEW INCIDENT REPORT'}], 'cse_image': [{'src': 'x-raw-image:///b76143c6391d272d55ba1dc8f65e4838fd9c197e624f8c6f6f9df1bf249f653b'}]}"	application/pdf	PDF/Adobe Acrobat	a0onrzRAzDkJ
Policy on Integrity of the Game & Enforcement of Competitive Rules	https://www.espn.com/pdf/2015/0902/espn_otl_nflintegritypolicy.pdf	www.espn.com	"which it was aware; and (b) that the club was not guilty of any such violations 
during the preceding year, Any of these club employees who leaves the club 
prior ..."	https://www.espn.com/pdf/2015/0902/espn_otl_nflintegritypolicy.pdf	{'metatags': [{'moddate': 'Fri Aug  7 06:48:07 2015', 'creationdate': 'Fri Aug  7 04:51:15 2015', 'author': 'John', 'producer': 'Microsoft: Print To PDF'}]}	application/pdf	PDF/Adobe Acrobat	wzjskGM9iv8J
Title IX complaint against their current school	https://www.espn.com/pdf/2015/0204/espnw_complaintofstudentathletes.pdf	www.espn.com	"Feb 4, 2015 ... Filed Via Email: ocr@ed.gov. United States Department of Education. Citigroup 
Center. Attn: Office for Civil Rights. 500 W. Madison Street, ..."	https://www.espn.com/pdf/2015/.../espnw_complaintofstudentathletes.pdf	"{'metatags': [{'moddate': ""D:20150204125131-05'00'"", 'creationdate': ""D:20150128180516-06'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'tnewkirk', 'producer': 'Acrobat Distiller 11.0 (Windows)', 'title': 'Microsoft Word - Office of Civil Rights -Complaint of Student Athletes - University of Iowa- 1-29-15.docx'}]}"	application/pdf	PDF/Adobe Acrobat	ktqzG6Qq2OQJ
Goodell assured Specter	https://www.espn.com/pdf/2015/0902/espn_otl_letterstogoodell.pdf	www.espn.com	"Jan 31, 2008 ... replied earlier. (I have instructed my staff to contact your office to make sure that 
you have my best phone and fax numbers for our future ..."	https://www.espn.com/pdf/2015/0902/espn_otl_letterstogoodell.pdf	{'cse_thumbnail': [{'src': 'https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ-TQHcdvUK_0u0fWgb5905OnTkGl2d0xQK2zf2jiOJbgldyrNGEd2Dgg8', 'width': '199', 'height': '254'}], 'metatags': [{'creator': 'Hewlett Packard MFP'}], 'cse_image': [{'src': 'x-raw-image:///fcf1ba31782262d6c7e267c8c24835785a3c8f56d7b05054b45722c6effbdbc8'}]}	application/pdf	PDF/Adobe Acrobat	tEL066uO1QMJ
Bounty	https://www.espn.com/photo/preview/121211/espn_bountyruling.pdf	www.espn.com	"Dec 11, 2012 ... INTRODUCTION AND SUMMARY. The matter before me involves appeals by 
four present or former New Orleans Saints' players who are ..."	https://www.espn.com/photo/preview/121211/espn_bountyruling.pdf	"{'metatags': [{'moddate': ""D:20121211125541-05'00'"", 'creationdate': ""D:20121211125222-05'00'"", 'creator': 'Microsoft Word - 1972985_1.DOCX', 'author': 'mpb', 'producer': 'ScanSoft PDF Create! 7', 'title': 'Microsoft Word - 1972985_1.DOCX'}]}"	application/pdf	PDF/Adobe Acrobat	4m7GAw_QUOMJ
financial aspects	http://www.espn.com/pdf/2013/121113/otl_brody_order.pdf	www.espn.com	"appoint Mr. Perry Golkin as Special Master lo assist me in evaluating the financial 
aspects of the proposed settlement between the NFL Defendants and the ..."	www.espn.com/pdf/2013/121113/otl_brody_order.pdf	{'metatags': [{'moddate': 'Mon Dec 16 08:58:17 2013', 'creator': 'PFU ScanSnap Manager 5.0.21 #S510', 'creationdate': 'Mon Dec 16 08:58:17 2013', 'producer': 'Adobe PDF Scan Library 3.1'}]}	application/pdf	PDF/Adobe Acrobat	aATuPSmJjyIJ
